model,sample_size,seed,coverage,coverage_error,set_size
CQR,20000,42,89.28896188735962,5.711038112640381,4.979485988616943
NCP,20000,42,94.59102153778076,0.4089784622192383,5.768423318862915
eNCP,20000,42,94.88399028778076,0.11600971221923828,5.76668655872345
