sample_size,seed,model,mae,coverage_error,ci_size
7000,42,MLP,0.030566710978746414,,
7000,42,NCP,0.05618951842188835,5.375660955905914,0.7065390522281328
7000,42,eNCP,0.04543275013566017,3.396825459268358,0.6406365839971436
