sample_size,seed,model,mae,coverage_error,ci_size
10000,42,MLP,0.018160996958613396,,
10000,42,NCP,0.06837230920791626,3.60000009338061,0.708620155023204
10000,42,eNCP,0.02779916673898697,2.503704445229636,0.6116903631223573
