sample_size,train_size,seed,alpha,desired_coverage_pct,model,coverage_pct,coverage_error_pct,ci_size,coverage_eval_n
20000,14000,42,0.1,90.0,NCP,90.71772408485413,0.717724084854126,1.4537472486495973,50000
20000,14000,42,0.1,90.0,NCPaug,91.05224919319153,1.0522491931915283,1.3989542531967163,50000
20000,14000,42,0.1,90.0,eNCP,88.66175532341003,1.3382446765899658,1.2134089326858521,50000
20000,14000,42,0.2,80.0,NCP,83.24793481826782,3.2479348182678223,1.1754441308975219,50000
20000,14000,42,0.2,80.0,NCPaug,82.71007442474365,2.7100744247436523,1.1343818998336792,50000
20000,14000,42,0.2,80.0,eNCP,79.38240003585815,0.6175999641418457,1.0048867273330688,50000
20000,14000,42,0.3,70.0,NCP,74.96058535575867,4.960585355758667,0.9981932759284973,50000
20000,14000,42,0.3,70.0,NCPaug,73.89129304885864,3.8912930488586426,0.9640516662597656,50000
20000,14000,42,0.3,70.0,eNCP,69.34694933891296,0.6530506610870361,0.8641370034217835,50000
20000,14000,42,0.4,60.0,NCP,65.42949843406677,5.4294984340667725,0.8547764444351196,50000
20000,14000,42,0.4,60.0,NCPaug,63.91377615928649,3.913776159286492,0.7672708678245544,50000
20000,14000,42,0.4,60.0,eNCP,59.05041766166686,0.949582338333137,0.7428760766983032,50000
20000,14000,42,0.5,50.0,NCP,54.61767768859863,4.617677688598633,0.5484808444976806,50000
20000,14000,42,0.5,50.0,NCPaug,53.18319487571716,3.183194875717163,0.5113320589065552,50000
20000,14000,42,0.5,50.0,eNCP,49.92656624317169,0.0734337568283081,0.46394219636917117,50000
20000,14000,42,0.6,40.0,NCP,43.16553044319153,3.1655304431915283,0.38536901950836183,50000
20000,14000,42,0.6,40.0,NCPaug,42.024792432785034,2.024792432785034,0.3762797176837921,50000
20000,14000,42,0.6,40.0,eNCP,39.88405418395996,0.11594581604003906,0.33892484664916994,50000
20000,14000,42,0.7,30.000000000000004,NCP,31.999111890792847,1.9991118907928431,0.27617099761962893,50000
20000,14000,42,0.7,30.000000000000004,NCPaug,30.967480063438412,0.9674800634384084,0.26945312023162843,50000
20000,14000,42,0.7,30.000000000000004,eNCP,30.04561007022858,0.04561007022857666,0.24160651803016664,50000
20000,14000,42,0.8,19.999999999999996,NCP,20.84550541639328,0.8455054163932836,0.17882456719875336,50000
20000,14000,42,0.8,19.999999999999996,NCPaug,20.534585058689117,0.534585058689121,0.17469622790813447,50000
20000,14000,42,0.8,19.999999999999996,eNCP,19.695907711982727,0.3040922880172694,0.15707035422325133,50000
20000,14000,42,0.9,9.999999999999998,NCP,10.385264486074448,0.3852644860744494,0.08914965569972992,50000
20000,14000,42,0.9,9.999999999999998,NCPaug,9.950992554426193,0.049007445573804986,0.0873936077952385,50000
20000,14000,42,0.9,9.999999999999998,eNCP,10.094528555870056,0.09452855587005793,0.07864674597978592,50000
